2025-01-10T14:13:31.991Z | direct | GET /arcade_assets/jaeyong_jump/assets/buds.png | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:32.046Z | direct | GET /arcade_assets/jaeyong_jump/assets/s1.png | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:32.158Z | direct | GET /arcade_assets/jaeyong_jump/assets/s2.png | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:32.244Z | direct | GET /arcade_assets/jaeyong_jump/assets/s21.png | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:32.244Z | direct | GET /arcade_assets/jaeyong_jump/assets/s22.png | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:32.257Z | direct | GET /arcade_assets/jaeyong_jump/assets/note7.png | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:54.913Z | direct | GET /.env | 404 | Mozilla/5.0 Keydrop
ome/125.0.0.0 Safari/537.36
2025-01-10T14:03:49.794Z | direct | GET /undefined/api/numbers | 404 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:04:01.909Z | direct | GET /undefined/api/numbers | 404 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:05:02.401Z | direct | GET /undefined/api/numbers | 404 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:06:02.326Z | direct | GET /undefined/api/numbers | 404 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
